epoch,dice_coef,learning_rate,loss,val_dice_coef,val_loss
0,0.11376943439245224,9.999999747378752e-05,0.8862304091453552,0.017622342333197594,0.9823777675628662
1,0.1971469223499298,9.999999747378752e-05,0.8028531074523926,0.01650841347873211,0.9834913611412048
2,0.2583366632461548,9.999999747378752e-05,0.7416635751724243,0.06926938146352768,0.9307307004928589
3,0.32113173604011536,9.999999747378752e-05,0.6788684725761414,0.1153855100274086,0.8846145272254944
4,0.3932892978191376,9.999999747378752e-05,0.6067106127738953,0.3432326912879944,0.6567673087120056
5,0.4575014114379883,9.999999747378752e-05,0.5424985885620117,0.4545954763889313,0.5454045534133911
6,0.5219563245773315,9.999999747378752e-05,0.47804370522499084,0.4153177738189697,0.584682285785675
7,0.5884917378425598,9.999999747378752e-05,0.41150808334350586,0.5218616127967834,0.47813835740089417
8,0.6385197639465332,9.999999747378752e-05,0.36148032546043396,0.5590887665748596,0.4409111738204956
9,0.6780017614364624,9.999999747378752e-05,0.3219980001449585,0.6266109943389893,0.37338903546333313
10,0.7170761227607727,9.999999747378752e-05,0.28292378783226013,0.6359637379646301,0.3640363812446594
11,0.745079755783081,9.999999747378752e-05,0.25492045283317566,0.6368134021759033,0.3631865680217743
12,0.7666654586791992,9.999999747378752e-05,0.2333345264196396,0.6690806150436401,0.3309193551540375
13,0.7884816527366638,9.999999747378752e-05,0.21151836216449738,0.6959668397903442,0.3040331304073334
14,0.801311731338501,9.999999747378752e-05,0.19868840277194977,0.7318246960639954,0.26817527413368225
15,0.8172197341918945,9.999999747378752e-05,0.18278008699417114,0.6886540651321411,0.3113459050655365
16,0.8373655080795288,9.999999747378752e-05,0.16263447701931,0.7353245615959167,0.2646753787994385
17,0.8385067582130432,9.999999747378752e-05,0.1614931970834732,0.6629989147186279,0.3370010554790497
18,0.8477414846420288,9.999999747378752e-05,0.15225869417190552,0.7519168853759766,0.24808306992053986
19,0.8585870862007141,9.999999747378752e-05,0.14141300320625305,0.7365162968635559,0.26348379254341125
20,0.867841362953186,9.999999747378752e-05,0.13215865194797516,0.7739554047584534,0.22604450583457947
21,0.8815374374389648,9.999999747378752e-05,0.11846254765987396,0.7833752632141113,0.21662470698356628
22,0.8878914713859558,9.999999747378752e-05,0.11210871487855911,0.7851008176803589,0.21489916741847992
23,0.8948165774345398,9.999999747378752e-05,0.10518354177474976,0.7883356809616089,0.21166424453258514
24,0.8954749703407288,9.999999747378752e-05,0.10452523082494736,0.7755025029182434,0.22449757158756256
25,0.9027881622314453,9.999999747378752e-05,0.09721183031797409,0.8014083504676819,0.19859157502651215
26,0.8932406902313232,9.999999747378752e-05,0.10675926506519318,0.7650694847106934,0.23493045568466187
27,0.872285008430481,9.999999747378752e-05,0.12771499156951904,0.7628377079963684,0.2371622771024704
28,0.899017870426178,9.999999747378752e-05,0.10098207741975784,0.7886841297149658,0.2113158106803894
29,0.9056142568588257,9.999999747378752e-05,0.09438561648130417,0.7847468256950378,0.2152530997991562
30,0.9162739515304565,9.999999747378752e-05,0.0837261751294136,0.7934109568595886,0.206589013338089
31,0.9238892793655396,9.999999747378752e-06,0.07611086964607239,0.8047958016395569,0.1952042281627655
32,0.9277462363243103,9.999999747378752e-06,0.07225365191698074,0.8039337396621704,0.19606629014015198
33,0.9295743107795715,9.999999747378752e-06,0.07042571157217026,0.8029168248176575,0.19708330929279327
34,0.9311225414276123,9.999999747378752e-06,0.06887727230787277,0.8020814061164856,0.19791869819164276
35,0.9325202107429504,9.999999747378752e-06,0.06747966259717941,0.8019720911979675,0.19802790880203247
36,0.9337317943572998,9.999999747378752e-06,0.06626825779676437,0.8016453981399536,0.1983547955751419
37,0.9346851110458374,9.999999974752427e-07,0.06531520187854767,0.8001400828361511,0.19985991716384888
38,0.9350343346595764,9.999999974752427e-07,0.06496562063694,0.8002142310142517,0.19978579878807068
39,0.9352036118507385,9.999999974752427e-07,0.06479635834693909,0.8001475930213928,0.19985254108905792
40,0.9353643655776978,9.999999974752427e-07,0.06463554501533508,0.8000196218490601,0.19998036324977875
41,0.935523509979248,9.999999974752427e-07,0.06447649747133255,0.7998660206794739,0.20013390481472015
42,0.9357646703720093,1.0000000116860974e-07,0.06423554569482803,0.8000263571739197,0.1999737173318863
43,0.9357856512069702,1.0000000116860974e-07,0.06421425938606262,0.8000895977020264,0.19991041719913483
44,0.9358052611351013,1.0000000116860974e-07,0.0641947090625763,0.8001183867454529,0.19988156855106354
45,0.9358242154121399,1.0000000116860974e-07,0.0641758069396019,0.8001304268836975,0.19986951351165771
46,0.9358429908752441,1.0000000116860974e-07,0.06415697932243347,0.800133228302002,0.1998668760061264
47,0.9358620643615723,1.0000000116860974e-07,0.06413798034191132,0.8001292943954468,0.1998707503080368
48,0.9358812570571899,1.0000000116860974e-07,0.06411852687597275,0.8001207709312439,0.19987919926643372
49,0.9359014630317688,1.0000000116860974e-07,0.06409860402345657,0.8001092672348022,0.1998906284570694
50,0.9359220266342163,1.0000000116860974e-07,0.06407807022333145,0.8000956773757935,0.1999044269323349
51,0.935943067073822,1.0000000116860974e-07,0.06405697017908096,0.8000800609588623,0.1999198943376541
